k;m;r;x;bshkm
1;2;0.01938;0.05917;0.0264
1;5;0.05403;0.22304;0.0246
2;3;0.04699;0.19797;0.0219
2;4;0.05811;0.17632;0.0170
2;5;0.05695;0.17388;0.0173
3;4;0.06701;0.17103;0.0064
4;5;0.01335;0.04211;0.00000
4;7;0.00000;0.20912;0.00000
4;9;0.00000;0.55618;0.00000
5;6;0.00000;0.25202;0.00000
6;11;0.09498;0.19890;0.00000
6;12;0.12291;0.25581;0.00000
6;13;0.06615;0.13027;0.00000
7;8;0.00000;0.17615;0.00000
7;9;0.00000;0.11001;0.00000
9;10;0.03181;0.08450;0.00000
9;14;0.12711;0.27038;0.00000
10;11;0.08205;0.19207;0.00000
12;13;0.22092;0.19988;0.00000
13;14;0.17093;0.34802;0.00000
